*churchyard n.教堂的庭院(墓地)
*clockwork n.發條裝置
*cigar n.雪茄
close adj./adv.接近的
cigarette n.香煙；煙捲
close v.關上；結束
circle n./v.循環；畫圓圈
closet n.壁櫥；衣櫥
circulate v.循環；流通
*closure n.關閉
circulation n.循環；流通；貨幣
cloth n.布料；衣料
circumstance n.情況；詳情
clothe v.為…穿衣
circus n.馬戲團
clothes n.衣服
citizen n.公民；市民
clothing n.衣服；覆蓋物
*citizenship n.公民身分(權利)
cloud n./v.雲；遮蔽
city n.城市
cloudy adj.多雲的
*civics n.公民科
clown n.小丑
*civilian n.平民；文職人員
club n./v.俱樂部；募集
civilization n.文明
clue n.線索
*civilize v.使開化
clumsy adj.笨拙的
claim n./v.要求；聲稱
*cluster n.群
clarify v.澄清
*clutch n.離合器；緊握
coach n./v.教練員；公車
comedy n.喜劇
coal n.煤礦；煤塊
*comet n.彗星
*coalition n.聯合
*comfortably adv.舒適地
coarse adj.粗糙的
*comforting adj.舒適的
coast n.海岸；沿海地區
*comic adj.滑稽的
*coastguard n.海岸巡邏隊
*coming n.到來
*coastline n.海岸線
command n./v.命令；控制
coat n./v.外套；覆蓋
commander n.指揮者
*cocaine n.古柯鹼
*commemorate v.為慶祝
*cock n.公雞
*commend v.稱讚
*cockpit n.駕駛艙；鬥雞場
comment n./v.評論
cockroach n.蟑蚣卜；油蟲
*commentary n.評述
cocktail n.雞尾酒
*commentator n.評論家
coconut n.椰子
commerce n 商業；交易
code n./v.密碼；法典
commercial adj./n.商業的
*coed adj.男女合校的
commission n./v.佣金；委託
*coeducation n.男女合校的教育
commit v.犯(罪)；把…託交給…
*coexist v.同時共存
commitment n.承諾
coffee n.咖啡
committee n.委員會
*coffin n.棺材
*commodity n.商品
coin n.硬幣
common adj./n.一般的
*coincidence n.巧合
*commonplace adj.平凡的
coke n.可口可樂
*communal adj.公共的
*cola n.可樂類飲料
communicate v.溝通
*collaborate v.合作
communication n.溝通；訊息
collapse v./n.崩塌
*communicative adj.愛說話的
collar n.衣領；項圈
*communist n./adj./n.共產主義的；共產主義者
*colleague n.同事
community n.社區；共同體
collect、收集；收藏
*commute v.通勤
collection n.收藏品；收集
*commuter n 通勤者
*collector n.收藏者
*compact adj.緊密的
college n.大學；學院
companion n.夥伴；伴侶
*collision n.衝突
*companionship n.交誼
*colonial adj.殖民地的
company n.公司；同伴
colony n.殖民地
*comparative adj.相比而言的
color n./v.顏色；彩色
*comparatively adv.比較地
*color-blind adj.色盲的
compare v.比較
colorful adj.多采多姿的
comparison n.比較；對照
column n.欄；圓柱
*compartment n.分隔間
*columnist n.專欄作家
*compass n.指南針；圓規
comb n./v.梳子；梳頭
*compassionate adj.有同情心的
combination n.聯合(體)
*compatible adj.相容的
combine v.結合
*compatibly adv.和諧地
come v.來到；甦醒
*compensate v.賠償
*comedian n.丑角式人物
*compensation n.補償
compete v.競爭；比賽
conclude v.結束；斷定
*competence n.能力
conclusion n.結論；推論
competition n.競賽；競爭
concrete adj./n.具體的；混凝土
competitive adj.競爭的
*condense v.使凝結(濃縮)
competitor n.競爭者
condition n./v.情況；決定
*compile v.編纂
*condom n.保險套
complain v.抱怨
conductor n.領導者；指揮
complaint n.抱怨
*confederation n.同盟
*complement n.補足物
*confer v.商議；授予
complete adj./v.完全的；完成
conference n.會議
complex adj./n.複雜的；情結
confess v.坦承
*complexion n.氣色
*confession n.承認
*complexity n.錯綜複雜的事物
*confide v.吐露
complicate v.使複雜化
confidence n.信心；自信
complicated adj.複雜的
confident adj.有自信的
*complication n.糾葛
*confidently adv.確信地
compliment n./v.讚美；祝賀
*confidential adj.機密的
*comply v.依從
confine v.限制；使侷限
component n.零件；成分
*confirm v.詮實
compose v.作曲；組成
conflict n./v.衝突
composer n.作曲家；調停者
*conform v.遵從
*composite adj.混合成的
*conformity n.遵從
composition n.作文；合成物
confront v.面臨；對抗
*comprehend v.理解
confrontation n.對質；對抗
*comprehensible adj.可以理解的
*Confucius n.孔子
*comprehension n.理解(力)
confuse v.把…弄糊塗；攪亂
*comprehensive adj.廣泛的
*confused adj 困惑的
*compress v.壓縮
confusion n.混亂；困惑
*compromise v.妥協(方案)
congratulate v.恭喜
*compulsively adv.強制性地
congratulation n.恭喜
compute v.估算；推算
congress n.正式大會；立法機關
computer n.電腦
*congressional adj.國會的
*computerize v.使電腦化
*conjunction n.結合
*comrade n.同伴
connect v.連結
*conceal v.隱藏
connection n.連接；關聯
*concede v.讓與
conquer v.戰勝
*conceive v.認為；構想
*conquest n.征服
*conceited adj.自大的
*conscientious adj.盡責的
*conceitedly adv.自負地
conscious adj.神智清醒的
concentrate v.專心
consciously adv.有意地
concentration n 專心；集中
consciousness n.意識；察覺
concern n./v.關心；涉及
*consecutive adj.連續的
concert n.演奏會；音樂會
*consensus n.多數人的意見
*concession n.讓步
consent n./v.同意
*concise adj.簡潔的
consequence n.結果；重要性
consequent adj.因…的結果而起的
*continuation n.繼績
*conservation n.保護
continue v.持續
conservative adj.保守的
continuous adj.連續的
consider v.認為；考慮
contract n./v.契約
considerable adj.值得考慮的
*contractor n.立約人
considerate adj.設想周到的
*contradict v.否認
consideration n.考慮；動機
*contradiction n.矛盾
consist v.組成；存在於…
contrary adj./n.相反的
consistent adj.一致的
